layer,syntax,semantic,syntax_delta,semantic_delta
0,2.038140238324801,2.471874153027769,-2.622774447629733,-3.540033720433712
1,4.54570169961662,5.976003793236173,-0.1152129863379141,-0.035904080225307666
2,4.661112064007709,5.891584339383685,0.00019737805317454615,-0.12032353407779617
3,4.610520738945342,5.920880230845975,-0.05039394700919164,-0.09102764261550611
4,4.576399509864859,5.990511375738949,-0.08451517608967496,-0.021396497722531826
5,4.686750725323024,5.986371839205261,0.02583603936848977,-0.025536034256219864
6,4.64114468935101,5.829537074463289,-0.019769996603524298,-0.18237079899819175
7,4.700325432349928,6.055859154792594,0.03941074639539366,0.043951281331112924
8,4.6759076865292934,5.890618252400004,0.014993000574759385,-0.1212896210614769
9,4.718459837844906,5.793207691829712,0.05754515189037157,-0.2187001816317684
10,4.602200652112757,5.821178296061813,-0.05871403384177665,-0.19072957739966778
11,4.551855910410328,5.249986259541551,-0.10905877554420584,-0.7619216139199301
