layer,head,rA,rB,rC
0,0,-0.60649204,-0.45637284179656035,0.2790738258150006
0,1,-0.80596083,0.16163393730982023,0.013008884287439857
0,2,-0.6384134,0.10728923141465944,-0.12210883236887755
0,3,-0.7078382,-0.10742893950025102,0.22025767452377193
0,4,-0.5367716,-0.33963273635213326,0.39351975965354535
0,5,-0.6475316,-0.3779202059458579,0.34754664039401667
0,6,-0.58551836,-0.6698323295867523,0.5722168028321906
0,7,-0.45061934,0.0641138305377343,-0.25825741050919654
0,8,-0.5202259,0.5653446997079443,-0.6957607266823559
0,9,-0.5336193,-0.1081321121368336,-0.04791613812793921
0,10,-0.55223376,-0.003160284919447685,-0.1469663954081888
0,11,-0.3710176,-0.3963806702130392,0.1793903372681475
1,0,-0.46114516,0.11475157118886282,-0.21486424980658045
1,1,-0.6493661,-0.49982650210482593,-0.027379794045033743
1,2,-0.50952804,-0.2928185511691564,-0.03819981248656295
1,3,-0.7732928,-0.989759361088215,0.0574165197688724
1,4,-0.290198,-0.6221494526872208,0.20166899585023546
1,5,-0.6448125,0.18188788208330206,-0.32731819063086165
1,6,-0.44733405,0.08353932748393468,-0.18209932044827395
1,7,-0.6500309,-0.2705269799031896,-0.09480906671412931
1,8,-0.5024246,-0.5760445208525868,-0.14350760595575798
1,9,-0.6046621,-0.45614074402051186,-0.05397865979856714
1,10,-0.34871605,-0.4517829575119354,0.23113678954183997
1,11,-0.5106101,0.11640710593881796,0.033360285318179805
2,0,-0.5259672,-0.40089652405158954,-0.030906179326222624
2,1,-0.38268697,-0.39635250316694454,-0.42779522351852656
2,2,-0.5407903,-0.11372259645222879,-0.257599392660926
2,3,-0.5750727,0.05671809041850508,-0.24318267960423065
2,4,-0.43283218,0.3138898612629256,-0.4381052647742872
2,5,-0.5850859,-0.3378164114534805,-0.1988804699804584
2,6,-0.61729187,-0.8238926626477271,-0.3879475687341571
2,7,-0.25991866,-0.5902527686635445,0.0040105807070204445
2,8,-0.5239831,-0.20341639624814317,0.16000722658676322
2,9,-0.5786724,-0.22308748515714216,0.0727266602192751
2,10,-0.54348934,-0.38705918249042126,-0.0742476018608707
2,11,-0.8287186,-0.956232347386934,-0.31432951469140213
3,0,-0.6985894,-0.05556466012097651,-0.38094106695852
3,1,-0.7015885,-0.44776623650211134,-0.4396555740993841
3,2,-0.76443607,-0.23578211933119422,-0.11010549089471759
3,3,-0.56138283,0.10366391066332258,-0.45468707719418466
3,4,-0.7839718,-0.00880381772788653,-0.4385412754611502
3,5,-0.58010834,-0.30060453048945973,-0.42527890483275116
3,6,-0.6374529,0.10860409037821499,-0.30511450089327824
3,7,-0.6883496,0.013301834111416357,-0.2543991341233216
3,8,-0.6465944,-0.05169830220965934,-0.28697026845977164
3,9,-0.5999981,0.0036817586060843236,-0.11207570708915943
3,10,-0.8066694,-0.46303347324308636,-0.6323077903031823
3,11,-0.627146,0.03471701660162218,-0.13919523823572652
4,0,-0.62858254,-0.006153056582113195,-0.1319096207288414
4,1,-0.616343,-0.07885095016903047,-0.4505019934695736
4,2,-0.6854429,-0.1854725511834988,-0.5344873181080723
4,3,-0.62091273,0.22478955583744673,-0.19067575262030892
4,4,-0.68937755,-0.38526031448503745,-0.5334344841684483
4,5,-0.85534877,-0.22204997403779805,-0.4066606301093253
4,6,-0.87295145,-0.21775148429138091,-0.5285902048193819
4,7,-0.6820759,-0.355695732951297,-0.21996154115903377
4,8,-0.8071763,-0.4225575984874671,-0.6699434446705154
4,9,-0.66586024,-0.4012658382559615,-0.33472545343621013
4,10,-0.6766665,-0.4742225380417994,-0.50261060741334
4,11,-0.77937174,-0.037278282986315366,0.13886862358384897
5,0,-0.8395879,-0.48736852358302274,-0.4327718575285803
5,1,-0.911716,-0.6172511577800198,-0.3780437533482805
5,2,-0.80790746,-0.35885791776362735,-0.5962090716028788
5,3,-0.69606906,-0.565899467845711,-0.6318243382330985
5,4,-0.81127894,-0.33088546484810144,-0.29164510575939734
5,5,-0.87280744,-0.71567198547196,-0.39586221527587545
5,6,-0.7990502,-0.38678376772304696,-0.3875958469017928
5,7,-0.8546636,-0.2903898442593008,-0.49342220675200305
5,8,-0.85275733,-0.47222649967487645,-0.43844917116867016
5,9,-0.9162224,-0.6720562762381228,-0.36011814022469024
5,10,-0.6807213,0.028238860492885775,-0.5434536771719072
5,11,-0.45317274,-0.48411787930934863,-0.48839542196359964
6,0,-0.673999,-0.2477904770177715,-0.5565782160095697
6,1,-0.8040621,-0.33310316325624306,-0.508567035779978
6,2,-0.7243641,-0.5002258897873404,-0.6806719494858755
6,3,-0.666053,-0.41248823247565053,-0.6452494153506415
6,4,-0.6759517,-0.4541466065364336,-0.5833425284465594
6,5,-0.7643787,-0.5559776485242887,-0.6623950046329248
6,6,-0.7006711,-0.7444181921914544,-0.7334895031474189
6,7,-0.62490314,-0.4541671881811738,-0.40181324175737976
6,8,-0.79813975,-0.5059794357234679,-0.6822585850474485
6,9,-0.81595093,-0.5684083816460974,-0.5669192796114152
6,10,-0.8325218,-0.46964093028046094,-0.7050265749316984
6,11,-0.72569543,-0.360759747284826,-0.565464084331055
7,0,-0.84445494,-0.4737447348078798,-0.6497231768448186
7,1,-0.727946,-0.6309365761965982,-0.7092851789981608
7,2,-0.91946596,-0.2432808153798969,-0.5293900624014793
7,3,-0.7291548,-0.5377996348077823,-0.4966791134033192
7,4,-0.8355793,-0.35582395359435043,-0.6386999171721824
7,5,-0.6010876,-0.6811198472999971,-0.525216362568469
7,6,-0.8233083,-0.7487574718944814,-0.6015412532152836
7,7,-0.7809154,-0.5182668118086372,-0.7595457550033597
7,8,-0.57401943,-0.2400295998516565,-0.545742717771744
7,9,-0.62968755,-0.4631847094477583,-0.5863279906327312
7,10,-0.8820634,0.07928231175479047,-0.5298225980909534
7,11,-0.9075729,-0.3758134682817017,-0.5888179510675405
8,0,-0.7701968,-0.5203717278156686,-0.7054681609978981
8,1,-0.93325096,-0.1810115775042029,-0.5048748567508599
8,2,-0.6960803,-0.5884607260844686,-0.6744081438247997
8,3,-0.8322183,-0.5089250224661249,-0.6381222629354019
8,4,-0.625645,-0.40821602695140685,-0.5374028764845359
8,5,-0.6749559,-0.6645691788404936,-0.5444528015221307
