model,layer,head,rA,mean_conc,r_conc_entropy,head_dim
gpt2,0,0,-0.60649204,0.32965939055229054,-0.5651357707442539,64
gpt2,0,1,-0.80596083,0.3403949984188738,0.04721659648901712,64
gpt2,0,2,-0.6384134,0.43057016874181814,-0.3080674640936449,64
gpt2,0,3,-0.7078382,0.3034051353561467,0.17100696894821943,64
gpt2,0,4,-0.5367716,0.38661684866609247,-0.18097654897439344,64
gpt2,0,5,-0.6475316,0.38836340452062673,0.6060224029513673,64
gpt2,0,6,-0.58551836,0.286827663923132,-0.7712859949659996,64
gpt2,0,7,-0.45061934,0.3297861465092363,-0.6142735979595931,64
gpt2,0,8,-0.5202259,0.4290956474583724,-0.33758557335188555,64
gpt2,0,9,-0.5336193,0.4597850441932678,-0.5911178449165037,64
gpt2,0,10,-0.55223376,0.4842757284641266,-0.03144163969086166,64
gpt2,0,11,-0.3710176,0.3939523922985998,-0.752376472218353,64
gpt2,1,0,-0.46114516,0.2839096085778598,-0.6000641502906522,64
gpt2,1,1,-0.6493661,0.2982698329563799,-0.8102525275135614,64
gpt2,1,2,-0.50952804,0.3518196549908868,-0.7360630898177944,64
gpt2,1,3,-0.7732928,0.6244128366996502,-0.9231158794998414,64
gpt2,1,4,-0.290198,0.3504684752431409,-0.8532162344728043,64
gpt2,1,5,-0.6448125,0.43077267243944367,-0.11637334461974896,64
gpt2,1,6,-0.44733405,0.38781921616916,-0.3951282238944831,64
gpt2,1,7,-0.6500309,0.3644806917371421,-0.5568004323635046,64
gpt2,1,8,-0.5024246,0.35341522097587585,-0.7106694300369785,64
gpt2,1,9,-0.6046621,0.33838358726994744,-0.4768171663829475,64
gpt2,1,10,-0.34871605,0.3743621126331132,-0.9352480627662311,64
gpt2,1,11,-0.5106101,0.6828806112552511,0.4606840097759561,64
gpt2,2,0,-0.5259672,0.3622343971811492,-0.8320733146237336,64
gpt2,2,1,-0.38268697,0.4002113861256632,-0.3341644526615882,64
gpt2,2,2,-0.5407903,0.30129047097830935,-0.26021024500775347,64
gpt2,2,3,-0.5750727,0.28070267007268707,-0.6792313195430438,64
gpt2,2,4,-0.43283218,0.3793780125420669,-0.49240070302752603,64
gpt2,2,5,-0.5850859,0.3270538140987528,-0.5969163112098382,64
gpt2,2,6,-0.61729187,0.35129502312890415,-0.5365052017286052,64
gpt2,2,7,-0.25991866,0.3740688290061622,-0.9139038091380953,64
gpt2,2,8,-0.5239831,0.36054388510769814,-0.5780567041244732,64
gpt2,2,9,-0.5786724,0.3594650980727426,-0.45280685570860196,64
gpt2,2,10,-0.54348934,0.30839194614311743,-0.5374346908860932,64
gpt2,2,11,-0.8287186,0.36679698886542483,-0.7253121203594947,64
gpt2,3,0,-0.6985894,0.4711788882469309,0.49750571958018897,64
gpt2,3,1,-0.7015885,0.2898946399318761,-0.7351827615401043,64
gpt2,3,2,-0.76443607,0.2711035434542031,-0.3308553184252525,64
gpt2,3,3,-0.56138283,0.3199507578693587,-0.12942709088823015,64
gpt2,3,4,-0.7839718,0.37246391382710686,0.05066706307126713,64
gpt2,3,5,-0.58010834,0.2936256887583897,-0.7303309411219568,64
gpt2,3,6,-0.6374529,0.2992088070203518,-0.7167394315266857,64
gpt2,3,7,-0.6883496,0.3093393080193421,-0.625303614993621,64
gpt2,3,8,-0.6465944,0.3227883371813544,-0.3704494202309072,64
gpt2,3,9,-0.5999981,0.30613708290560493,-0.60012890378802,64
gpt2,3,10,-0.8066694,0.3094222751157037,-0.828658728880638,64
gpt2,3,11,-0.627146,0.3264162663755746,-0.646611891724229,64
gpt2,4,0,-0.62858254,0.3075096977168116,-0.3253921168427746,64
gpt2,4,1,-0.616343,0.3338365986429412,-0.7469066778896091,64
gpt2,4,2,-0.6854429,0.355632654551802,-0.8424703438146458,64
gpt2,4,3,-0.62091273,0.35484443707712765,-0.7534573075393275,64
gpt2,4,4,-0.68937755,0.3498684512130145,-0.04946677392750299,64
gpt2,4,5,-0.85534877,0.25875370872431785,-0.493363263815989,64
gpt2,4,6,-0.87295145,0.3023828894927584,-0.6430922289340092,64
gpt2,4,7,-0.6820759,0.3307692516466667,-0.7243880538638919,64
