k,ablated_layers,syntax,semantic,syntax_delta,semantic_delta
0,[],4.660914685954534,6.011907873461481,0.0,0.0
1,[1],4.54570169961662,5.976003793236173,-0.1152129863379141,-0.035904080225307666
2,"[1, 2]",4.442642989267672,5.96731610235865,-0.21827169668686164,-0.04459177110283097
3,"[1, 2, 3]",4.342326937615871,5.7781828992740545,-0.318587748338663,-0.23372497418742633
4,"[1, 2, 3, 4]",3.687349353979031,5.183850740922279,-0.9735653319755029,-0.8280571325392021
5,"[1, 2, 3, 4, 5]",3.567647767315308,4.7719648940885655,-1.0932669186392259,-1.2399429793729153
6,"[1, 2, 3, 4, 5, 6]",3.416510733217001,4.350424637315704,-1.244403952737533,-1.6614832361457772
7,"[1, 2, 3, 4, 5, 6, 7]",3.2800793322424093,4.384616412100245,-1.3808353537121247,-1.627291461361236
8,"[1, 2, 3, 4, 5, 6, 7, 8]",3.149586023390293,3.8847926991884827,-1.511328662564241,-2.127115174272998
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",2.9986236398418744,3.3716772169363303,-1.6622910461126597,-2.6402306565251505
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",2.807658023883899,2.377155726073218,-1.8532566620706352,-3.6347521473882627
