domain,layer,head,rA,mean_conc
repeat,0,0,0.2892494451208262,0.9702801470245633
repeat,0,1,-0.284377200698412,0.9572491645812988
repeat,0,2,0.3505323942283216,0.9608283851827893
repeat,0,3,-0.45285631019619527,0.9292806599821363
repeat,0,4,-0.01510413096616747,0.9714112962995257
repeat,0,5,0.026528905807149148,0.8948239918266024
repeat,0,6,-0.501133702952581,0.9597284027508327
repeat,0,7,-0.2202719503158047,0.9164836215121406
repeat,0,8,-0.23069664473642462,0.851765724165099
repeat,0,9,0.22361528369432535,0.8985124145235334
repeat,0,10,0.22348043016345773,0.8573554498808724
repeat,0,11,0.25044557493086755,0.7569349152701241
repeat,1,0,-0.28050829332311195,0.8824776751654488
repeat,1,1,0.06393436803102255,0.9569085900272641
repeat,1,2,-0.23344870709558443,0.8369814774819783
repeat,1,3,-0.6147955238670405,0.9533077840294156
repeat,1,4,0.13627379712906432,0.8952621051243373
repeat,1,5,0.16860053240355635,0.7767329386302403
repeat,1,6,-0.16207098736470876,0.5700846314430237
repeat,1,7,-0.059654794878391634,0.7080607052360263
repeat,1,8,0.22899894541136184,0.62803351772683
repeat,1,9,0.08548585055132041,0.724608206323215
repeat,1,10,-0.2856353200116046,0.9525244746889386
repeat,1,11,-0.08159573099491554,0.8835962393454143
repeat,2,0,0.039351427874781804,0.948439148919923
repeat,2,1,-0.8390069592392329,0.7196664001260485
repeat,2,2,-0.3254721195618865,0.8889266444104058
repeat,2,3,-0.2672879637424648,0.8836195788213185
repeat,2,4,-0.3030110869855364,0.7920874782970974
repeat,2,5,-0.1542193916007717,0.9066156617232731
repeat,2,6,-0.23328509375139214,0.8861381177391324
repeat,2,7,-0.25001319826896695,0.8482948882239205
repeat,2,8,-0.13550299050976122,0.8871203086205891
repeat,2,9,-0.2912908969520376,0.9002102272851127
repeat,2,10,-0.002482030722739391,0.9104262739419937
repeat,2,11,-0.5814253093604792,0.9213138818740845
repeat,3,0,-0.39270816148924453,0.7691179364919662
repeat,3,1,-0.307365151812869,0.8353991061449051
repeat,3,2,-0.38028084217022645,0.8368765807577542
repeat,3,3,-0.39134259026758633,0.8576985342161996
repeat,3,4,-0.37452034997419603,0.7587508346353259
repeat,3,5,-0.9029862293425549,0.6037674077919551
repeat,3,6,-0.3864181566876685,0.8575384425265449
repeat,3,7,-0.40550651745437666,0.8320903905800411
repeat,3,8,-0.14488294651495506,0.9423910954168865
repeat,3,9,-0.36483235770125827,0.8962887482983726
repeat,3,10,-0.08575231719380855,0.834414290530341
repeat,3,11,-0.8869625886872228,0.9168985571180072
repeat,4,0,-0.9071564743973586,0.7571881551827703
repeat,4,1,-0.08848169347040942,0.8432661869696209
repeat,4,2,-0.8381444276502935,0.6907067831073489
repeat,4,3,-0.19320269296279682,0.7565585566418511
repeat,4,4,-0.216241238131912,0.8281369145427432
repeat,4,5,-0.9922873269471829,0.797169277710574
repeat,4,6,-0.3466726719734014,0.8103964158466884
repeat,4,7,-0.1278891354459269,0.8046906547886985
repeat,4,8,-0.8963005373280158,0.6572439840861729
repeat,4,9,-0.6098307923080266,0.7842959229435239
repeat,4,10,-0.9376061955692553,0.7726132263030324
repeat,4,11,-0.31867989254707085,0.8300391925232751
repeat,5,0,-0.14939617705646896,0.8219572390828814
repeat,5,1,-0.15374175082134464,0.8998450253690992
repeat,5,2,-0.06754236626367867,0.7347624174186161
repeat,5,3,0.009795656323476907,0.6729715104613986
repeat,5,4,-0.24850119083440736,0.7540728726557323
repeat,5,5,-0.04375949748596885,0.6830494574138096
repeat,5,6,0.020280381050219218,0.8766272813081741
repeat,5,7,-0.9450533513566087,0.7792419067450932
repeat,5,8,-0.11764671741053666,0.8235732795936721
repeat,5,9,-0.4909875780715113,0.6077571702854974
repeat,5,10,-0.7633730844661881,0.6279557006699699
repeat,5,11,-0.07179193606605161,0.7843975658927645
repeat,6,0,-0.6473771138531618,0.7570490432637078
repeat,6,1,-0.5666971089130471,0.7058646934373038
repeat,6,2,-0.9015404165203699,0.6393742242029735
repeat,6,3,-0.8580527454411394,0.7364014110394886
repeat,6,4,-0.7807895320787449,0.8078452561582837
repeat,6,5,-0.4835346811245154,0.7827444821596146
repeat,6,6,-0.10934349734329118,0.6758033271346774
repeat,6,7,-0.3994224475002184,0.7471884872232165
repeat,6,8,-0.28777320754549457,0.790645960186209
repeat,6,9,-0.21565978189093954,0.8117991941315787
repeat,6,10,-0.9105925745966676,0.766892002097198
repeat,6,11,-0.832330271694886,0.7856930387871606
repeat,7,0,-0.2775295291986694,0.817440750343459
repeat,7,1,-0.7379509544785049,0.7599234549062592
repeat,7,2,-0.08489429346083661,0.8135866544076374
repeat,7,3,-0.5101446536741145,0.7770240668739591
repeat,7,4,-0.8026399327294274,0.5822897957903999
repeat,7,5,-0.9602557862473864,0.7589219978877476
repeat,7,6,-0.5107147860434139,0.716578062091555
repeat,7,7,-0.22149314619915023,0.6608687830822808
repeat,7,8,-0.7886435103872136,0.8282763894115176
repeat,7,9,-0.8572544775083241,0.7490826270409993
repeat,7,10,-0.08646497178708258,0.7395561018160411
repeat,7,11,-0.1879687802226156,0.773884409240314
repeat,8,0,-0.9663428019550847,0.6416936240025929
repeat,8,1,-0.2924231519390358,0.8672352113894054
repeat,8,2,-0.7603381012523351,0.7185288220643997
repeat,8,3,-0.7492285506819878,0.5857839392764228
repeat,8,4,-0.8503499645265887,0.7883741578885487
repeat,8,5,-0.806502068513293,0.8345769494771957
repeat,8,6,-0.462624743938092,0.7112217758383069
repeat,8,7,-0.36573581957170764,0.8020159155130386
repeat,8,8,-0.6699123220977526,0.5866822579077312
repeat,8,9,-0.711804036611754,0.6105507399354663
repeat,8,10,-0.5934323744084713,0.8113640717097691
repeat,8,11,-0.817758292617341,0.5281317170177188
repeat,9,0,-0.9331666235872725,0.6689822652510234
repeat,9,1,-0.3041609536181398,0.6580887192061969
repeat,9,2,-0.865580382567829,0.6713499192680631
repeat,9,3,-0.8596448132449884,0.6794687509536743
repeat,9,4,-0.8049971947969574,0.728847895349775
repeat,9,5,-0.8041235324454714,0.7812322271721703
repeat,9,6,-0.9141382695410287,0.6066833479063851
repeat,9,7,-0.8254200638695275,0.6798173210450581
repeat,9,8,-0.9734572055168536,0.6629215776920319
repeat,9,9,-0.6888374124741777,0.6619070832218442
repeat,9,10,-0.8979491371710223,0.8268417375428336
repeat,9,11,-0.4866913738266855,0.8085305563041142
repeat,10,0,-0.920294332830049,0.6282730145113808
repeat,10,1,-0.9568166386591453,0.5255351364612579
repeat,10,2,-0.9946824045271188,0.5398044032709939
repeat,10,3,-0.7663536921483164,0.6639450341463089
repeat,10,4,-0.8583192689716166,0.6090296038559505
repeat,10,5,-0.6702828727819564,0.8267148200954709
repeat,10,6,-0.9607532622296139,0.5914540141820908
repeat,10,7,-0.5025734737623664,0.5705151898520333
repeat,10,8,-0.08225212547970062,0.7249540963343212
repeat,10,9,-0.9008629475464762,0.8247408419847488
repeat,10,10,-0.8592579662833828,0.5948110925299781
repeat,10,11,-0.8235243086589465,0.7322510715041842
repeat,11,0,-0.015196285767283485,0.7504865207842418
repeat,11,1,-0.9160110011310204,0.5856633718524661
repeat,11,2,-0.9314781110937976,0.5504305107252938
repeat,11,3,-0.6641989167862666,0.6660831272602081
repeat,11,4,-0.9623674690602247,0.5846483153956277
repeat,11,5,-0.5488980718956115,0.5169352729405675
repeat,11,6,-0.858263122483795,0.6250321460621697
repeat,11,7,-0.6843037586892723,0.6281440513474601
repeat,11,8,-0.2277078729455932,0.8381968651499067
repeat,11,9,-0.9841945820658494,0.592607496040208
repeat,11,10,-0.44826374751683956,0.7138548535960061
repeat,11,11,-0.09883715659789885,0.658834131700652
single,0,0,-0.18772832136485046,0.42062990967598224
single,0,1,-0.48226457543517,0.5988095456527339
single,0,2,-0.1373665286548604,0.5037222260402309
single,0,3,-0.43021617932192135,0.4721461521047685
single,0,4,-0.2713537589085466,0.4815866618106763
single,0,5,-0.41615895886792437,0.586190591669745
single,0,6,-0.15143375583541513,0.3819761545293861
single,0,7,-0.20280064420579688,0.39151684122367036
single,0,8,-0.15855491329310373,0.43369088673757183
single,0,9,-0.18498826890931636,0.4354254381938113
single,0,10,-0.23757264543385867,0.5192795333762964
single,0,11,-0.14248198806190684,0.3330877736831705
single,1,0,-0.2185536000654838,0.3604333285863201
single,1,1,-0.2040757060078049,0.3878533829831415
single,1,2,-0.43312718264446487,0.36182230948987937
