head,semantic,semantic_delta
0,6.731197513639927,-0.01388554672400133
1,6.686344360808532,-0.05873869955539668
2,6.703240596254667,-0.04184246410926118
3,6.738854216535886,-0.00622884382804223
4,6.688807426393032,-0.05627563397089652
5,6.676750249167283,-0.0683328111966448
6,6.714226893583933,-0.030856166779995142
7,6.602877481281757,-0.14220557908217124
8,6.740264129638672,-0.0048189307252561875
9,6.729730232059955,-0.015352828303972998
10,6.72089982877175,-0.024183231592178167
11,6.713714521626631,-0.03136853873729706
