text,layer,head,mean_conc
news,0,0,0.30108014875795786
news,0,1,0.3219667342377872
news,0,2,0.4790659241560029
news,0,3,0.25512750047009164
news,0,4,0.27751590347871546
news,0,5,0.32324253858589547
news,0,6,0.25333896097613545
news,0,7,0.2884397870156823
news,0,8,0.5118671146834769
news,0,9,0.5172778934967227
news,0,10,0.47388424742512586
news,0,11,0.35227063661668356
news,1,0,0.2647562070590694
news,1,1,0.2788161857099068
news,1,2,0.2509790019291203
news,1,3,0.5839291672881056
news,1,4,0.28984445115415064
news,1,5,0.348677668629623
news,1,6,0.3842275549725788
news,1,7,0.3688806702451008
news,1,8,0.38149042318506937
news,1,9,0.31092468521943906
news,1,10,0.31396239705202056
news,1,11,0.587762656008325
news,2,0,0.34672882062632865
news,2,1,0.3763001539358279
news,2,2,0.26860423640507025
news,2,3,0.2905985505842581
news,2,4,0.3166946594308062
news,2,5,0.28086658912460977
news,2,6,0.3344980878073995
news,2,7,0.33521383128515103
news,2,8,0.29906431531033867
news,2,9,0.2903228329449165
news,2,10,0.30362500759159644
news,2,11,0.34224729058219167
news,3,0,0.38137271164394004
news,3,1,0.2839858757286537
news,3,2,0.3088697852884851
news,3,3,0.27975093300749615
news,3,4,0.334231320677734
news,3,5,0.31059931473034186
news,3,6,0.29447402786917803
news,3,7,0.2673885284400568
news,3,8,0.30434617799956626
news,3,9,0.2958762420386803
news,3,10,0.2901619723657282
news,3,11,0.25801054224735354
news,4,0,0.3030555419078687
news,4,1,0.2823178782695677
news,4,2,0.32995580173120265
news,4,3,0.3094705005244511
news,4,4,0.32136598447474035
news,4,5,0.25434534069968434
news,4,6,0.31732153383696954
news,4,7,0.31676076388940577
news,4,8,0.32813171388172524
news,4,9,0.31417648639620804
news,4,10,0.30322611186562515
news,4,11,0.2973591107420805
news,5,0,0.29211247221725745
news,5,1,0.25353541534121443
news,5,2,0.29739746051590615
news,5,3,0.3095212673268667
news,5,4,0.2949408481760723
news,5,5,0.29456840455532074
news,5,6,0.25355918305676156
news,5,7,0.3086463848992092
news,5,8,0.27812807116566635
news,5,9,0.284484269052017
news,5,10,0.3501633961753147
news,5,11,0.3956461992205643
